Carimbo de data/hora,Declaro que fui devidamente esclarecida e dou o meu consentimento para participar da pesquisa e para apresentação dos resultados.,"A quanto tempo você está em contato com a área da Ciência da Computação (em termos de interesse, estudo e curso)? ",Quanto você tinha de conhecimento sobre a Ciência da Computação antes de escolher entrar no curso? ,Você acredita que a área de Ciência da Computação é uma área apenas voltada para a comunidade masculina? ,Você acredita que faltam incentivos de iniciação na área de Ciência da Computação voltados às mulheres? ,Você acredita na área da Ciência da Computação como uma área confortável e propícia ao desenvolvimento pessoal feminino?,Você já sofreu ou já presenciou qualquer espécie de preconceito por ser mulher na área de Ciência da Computação? ,"Por favor, coloque em ordem de mais importante (1) para menos importante (4) os empecilhos a entrada de mulheres na Ciência da Computação. [Predominância Masculina na Área]","Por favor, coloque em ordem de mais importante (1) para menos importante (4) os empecilhos a entrada de mulheres na Ciência da Computação. [Escassez de Incentivos às Mulheres]","Por favor, coloque em ordem de mais importante (1) para menos importante (4) os empecilhos a entrada de mulheres na Ciência da Computação. [Ambiente Contrário ao Desenvolvimento Feminino]","Por favor, coloque em ordem de mais importante (1) para menos importante (4) os empecilhos a entrada de mulheres na Ciência da Computação. [Presença de Preconceito contra Mulheres]","Se possível, nos conte mais sobre as suas experiências de empecilhos para sua entrada na área da Ciência da Computação. "
09/10/2023 17:56:37,"Sim, apresento o meu consentimento.",1,0,1,4,2,5,4,3,2,1,
09/10/2023 17:57:38,"Sim, apresento o meu consentimento.",2,2,4,5,2,3,2,1,3,4,
09/10/2023 18:02:38,"Sim, apresento o meu consentimento.",1,1,3,4,2,4,4,2,3,1,
09/10/2023 18:04:07,"Sim, apresento o meu consentimento.",4,2,1,3,2,4,1,2,4,3,Quando entrei no curso tinha apenas 4 meninas contando comigo e o total de alunos foram 32
09/10/2023 18:25:19,"Sim, apresento o meu consentimento.",2,0,2,5,1,5,3,1,2,4,
09/10/2023 18:28:19,"Sim, apresento o meu consentimento.",1,1,1,5,2,4,4,3,1,2,
09/10/2023 18:35:06,"Sim, apresento o meu consentimento.",4,1,1,4,2,4,4,2,3,1,
09/10/2023 18:45:54,"Sim, apresento o meu consentimento.",2,2,5,4,2,3,1,2,3,4,.
09/10/2023 18:55:24,"Sim, apresento o meu consentimento.",3,1,1,4,4,3,4,1,3,2,
09/10/2023 19:18:50,"Sim, apresento o meu consentimento.",4,2,2,4,2,5,2,3,4,1,
09/10/2023 19:19:38,"Sim, apresento o meu consentimento.",4,2,2,4,2,5,3,2,4,1,
09/10/2023 19:36:56,"Sim, apresento o meu consentimento.",4,1,1,5,2,4,3,4,2,1,
09/10/2023 20:21:52,"Sim, apresento o meu consentimento.",3,2,1,5,1,5,4,1,3,2,"nao tem incentivo no geral da inserção de meninas nas areas das engenharias, nao tem divulgação, nao tem facilitadores e nisso as meninas que entram muitas vezes vem de contextos muito específicos (quando tem pai ou mae professor de exatas que influencia) porque se nao é isso, as meninas nem consideram a opçao"
09/10/2023 20:34:59,"Sim, apresento o meu consentimento.",3,1,3,5,3,4,4,1,3,2,
11/10/2023 23:14:16,"Sim, apresento o meu consentimento.",3,1,2,4,1,1,1,2,4,3,
11/10/2023 23:24:14,"Sim, apresento o meu consentimento.",2,0,1,4,3,4,1,4,2,3,
11/10/2023 23:34:00,"Sim, apresento o meu consentimento.",4,2,3,5,2,5,4,3,1,2,
12/10/2023 01:58:38,"Sim, apresento o meu consentimento.",4,2,1,4,3,1,1,3,2,4,
12/10/2023 09:42:13,"Sim, apresento o meu consentimento.",4,0,4,3,2,1,1,3,4,2,
12/10/2023 10:10:32,"Sim, apresento o meu consentimento.",4,2,1,3,3,4,3,2,1,4,
12/10/2023 13:10:27,"Sim, apresento o meu consentimento.",2,1,2,4,3,5,2,3,1,4,"Tive um incentivo por parte de um primo que trabalha na área e outra motivação foi a apresentação do curso e ideia do ELAS Computação em minha escola , no ensino médio . Esses fatores foram determinantes para despertar o interesse na área e não ligar com os comentários ""só tem homem no curso "", ""isso é curso de homem"". "
12/10/2023 20:00:48,"Sim, apresento o meu consentimento.",1,1,1,5,1,4,4,3,1,2,
13/10/2023 13:17:44,"Sim, apresento o meu consentimento.",3,0,1,5,3,5,2,3,4,1,
13/10/2023 15:18:59,"Sim, apresento o meu consentimento.",2,2,2,5,2,5,1,3,4,2,
17/10/2023 20:02:54,"Sim, apresento o meu consentimento.",4,1,1,4,5,4,2,1,4,3,
17/10/2023 21:58:14,"Sim, apresento o meu consentimento.",4,0,4,3,3,5,1,4,2,3,
18/10/2023 07:29:03,"Sim, apresento o meu consentimento.",4,1,1,3,2,5,4,3,2,1,"O problema de Computação está mais atrelado aos alunos do que aos professores e ao curso em si, está muito vinculado à violência de gênero de um meio hostil cheio de indivíduos com deficiência social."
